study,soil,dataset,ecosystem,climate,soil.t,mdw,mvol,mps,mwplog,mwp,bd,c.org,ps,clay,silt,sand,ph,n.org,CtoN,som,pd,co2.rel,co2.dw,co2.om
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.046,0.051,0.088,3.613,4100.15,1.111,0.012,0.576,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,0.182,0.205,17.359
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.114,0.135,0.244,2.464,291.34,1.185,0.012,0.548,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,0.669,0.7,59.301
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.182,0.213,0.38,0.929,8.5,1.168,0.012,0.555,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,0.908,0.955,80.897
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.228,0.264,0.469,0.504,3.19,1.157,0.012,0.559,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,0.919,0.943,79.954
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.274,0.319,0.57,0.489,3.08,1.166,0.012,0.556,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,1.038,1.047,88.744
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.32,0.35,0.596,0.423,2.65,1.094,0.012,0.583,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,0.945,0.957,81.123
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.388,0.449,0.797,0.387,2.44,1.157,0.012,0.559,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,0.879,0.876,74.213
Franzluebers_1999,FARM_10,FARM_n,Grassland,Temperate,25,0.456,0.474,0.78,0.121,1.32,1.04,0.012,0.604,0.245,0.145,0.61,6.5,0.0008,14.22,0.02,2.62,0.603,0.503,42.641
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.046,0.057,0.105,3.367,2326.56,1.229,0.014,0.531,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,0.464,0.528,38.243
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.114,0.134,0.242,1.564,36.63,1.179,0.014,0.55,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,0.795,0.915,66.321
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.182,0.215,0.387,0.785,6.1,1.179,0.014,0.55,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,0.87,1.017,73.732
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.228,0.285,0.54,0.609,4.06,1.25,0.014,0.523,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,1.005,1.13,81.862
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.274,0.317,0.563,0.496,3.13,1.157,0.014,0.558,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,0.886,1.019,73.863
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.32,0.376,0.677,0.32,2.09,1.177,0.014,0.551,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,1.095,1.27,92.043
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.388,0.423,0.718,0.305,2.02,1.089,0.014,0.584,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,0.796,0.898,65.078
Franzluebers_1999,FARM_11,FARM_n,Grassland,Temperate,25,0.456,0.504,0.866,-0.143,0.72,1.106,0.014,0.577,0.11,0.11,0.78,6,0.001,14.38,0.02,2.62,0.71,0.672,48.698
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.046,0.05,0.085,3.446,2790.37,1.092,0.015,0.582,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,0.315,0.466,30.654
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.114,0.122,0.203,2.26,181.85,1.066,0.015,0.592,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,0.658,0.976,64.196
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.182,0.207,0.362,0.956,9.03,1.136,0.015,0.565,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,0.785,1.176,77.378
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.228,0.26,0.455,0.689,4.89,1.139,0.015,0.564,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,1.197,1.954,128.537
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.274,0.319,0.568,0.494,3.12,1.163,0.015,0.555,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,0.75,1.162,76.469
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.32,0.361,0.629,0.384,2.42,1.129,0.015,0.568,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,0.891,1.271,83.587
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.388,0.435,0.754,0.161,1.45,1.121,0.015,0.571,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,1.134,1.559,102.566
Franzluebers_1999,FARM_12,FARM_n,Grassland,Temperate,25,0.456,0.506,0.869,0.053,1.13,1.109,0.015,0.576,0.15,0.125,0.725,6,0.0011,14.21,0.03,2.61,0.621,0.732,48.148
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.046,0.05,0.085,3.591,3895.91,1.092,0.016,0.582,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,0.575,0.719,44.628
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.114,0.126,0.216,2.829,674.38,1.104,0.016,0.578,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,0.57,0.821,50.969
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.182,0.194,0.326,1.417,26.15,1.068,0.016,0.591,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,0.863,1.199,74.453
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.228,0.246,0.414,0.883,7.64,1.078,0.016,0.588,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,1.055,1.41,87.548
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.274,0.304,0.524,0.631,4.28,1.111,0.016,0.575,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,0.882,1.205,74.859
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.32,0.33,0.54,0.415,2.6,1.031,0.016,0.605,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,0.993,1.361,84.563
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.388,0.428,0.734,0.431,2.7,1.104,0.016,0.578,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,0.863,1.187,73.714
Franzluebers_1999,FARM_13,FARM_n,Grassland,Temperate,25,0.456,0.494,0.834,0.215,1.64,1.082,0.016,0.586,0.21,0.175,0.615,6.1,0.0011,14.77,0.03,2.61,0.722,0.794,49.332
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.046,0.048,0.078,3.624,4203.97,1.037,0.019,0.602,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.184,0.315,16.67
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.114,0.118,0.193,3.115,1304.46,1.033,0.019,0.604,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.504,0.808,42.731
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.182,0.169,0.261,1.589,38.78,0.931,0.019,0.643,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.824,1.226,64.883
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.228,0.224,0.357,0.904,8.01,0.984,0.019,0.622,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.88,1.373,72.628
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.274,0.292,0.489,0.649,4.46,1.066,0.019,0.591,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.877,1.453,76.874
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.32,0.327,0.533,0.517,3.29,1.023,0.019,0.608,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.868,1.334,70.581
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.388,0.39,0.629,0.201,1.59,1.006,0.019,0.614,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.972,1.437,76.036
Franzluebers_1999,FARM_14,FARM_n,Grassland,Temperate,25,0.456,0.485,0.811,0.199,1.58,1.064,0.019,0.592,0.245,0.22,0.535,6.2,0.0013,15.12,0.03,2.61,0.936,1.383,73.158
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.046,0.045,0.073,4.068,11701.68,0.988,0.016,0.622,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.103,0.172,10.469
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.114,0.116,0.188,3.394,2478.91,1.016,0.016,0.611,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.326,0.559,34.059
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.182,0.175,0.275,2.041,109.85,0.962,0.016,0.632,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.748,1.182,72.065
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.228,0.212,0.327,1.305,20.18,0.931,0.016,0.644,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.845,1.357,82.746
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.274,0.267,0.422,0.975,9.43,0.975,0.016,0.627,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.788,1.338,81.572
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.32,0.305,0.476,0.588,3.87,0.952,0.016,0.635,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.97,1.548,94.372
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.388,0.361,0.555,0.433,2.71,0.929,0.016,0.644,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.923,1.529,93.206
Franzluebers_1999,FARM_15,FARM_n,Grassland,Temperate,25,0.456,0.468,0.764,0.17,1.48,1.027,0.016,0.607,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,1.029,1.569,95.695
