study,soil,dataset,ecosystem,climate,soil.t,mdw,mvol,mps,mwplog,mwp,bd,c.org,ps,clay,silt,sand,ph,n.org,CtoN,som,pd,co2.rel,co2.dw,co2.om
Franzluebers_1999,FARM_15,FARM_c,Grassland,Temperate,25,0.246,0.304,0.569,1.418,26.18,1.235,0.016,0.527,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.858,1.36,82.913
Franzluebers_1999,FARM_15,FARM_c,Grassland,Temperate,25,0.29,0.336,0.596,0.988,9.73,1.157,0.016,0.557,0.33,0.18,0.49,6.1,0.0013,13.12,0.03,2.61,0.904,1.461,89.083
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.046,0.064,0.136,3.447,2798.47,1.397,0.014,0.467,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.531,0.563,41.412
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.114,0.146,0.282,1.404,25.33,1.279,0.014,0.512,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.915,0.974,71.642
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.182,0.243,0.491,0.763,5.8,1.337,0.014,0.489,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.824,0.889,65.34
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.228,0.296,0.581,0.622,4.19,1.299,0.014,0.504,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,1.032,1.076,79.12
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.274,0.355,0.694,0.391,2.46,1.295,0.014,0.505,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,1.011,1.046,76.94
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.32,0.389,0.72,0.152,1.42,1.217,0.014,0.535,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.999,0.991,72.838
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.388,0.454,0.814,0.279,1.9,1.171,0.014,0.553,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.968,0.834,61.355
Franzluebers_1999,FARM_01,FARM_n,Grassland,Temperate,25,0.456,0.515,0.897,-0.051,0.89,1.129,0.014,0.569,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.754,0.661,48.625
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.046,0.054,0.097,3.542,3483.9,1.174,0.015,0.551,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.449,0.526,34.819
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.114,0.141,0.265,1.723,52.87,1.238,0.015,0.527,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.696,0.843,55.832
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.182,0.222,0.411,0.977,9.48,1.22,0.015,0.534,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,1.083,1.277,84.551
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.228,0.276,0.508,0.695,4.96,1.211,0.015,0.537,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.886,1.065,70.548
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.274,0.336,0.625,0.559,3.62,1.226,0.015,0.531,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,1.04,1.205,79.827
