year,month,temp_surf,precip,moisture_upper_soil
2006,12,298.7186889648,439.9457126856,38.3840522766
2007,1,298.7358398438,379.091901239,38.219455719
2007,2,298.8718261719,117.378050345,36.9710655212
2007,3,298.7921142578,479.662832804,37.9449615479
2007,4,298.7359619141,407.8886671923,39.2688789368
2007,5,298.7498168945,237.9429987632,37.6853790283
2007,6,298.4896240234,296.7623651493,34.5044136047
2007,7,298.6275634766,212.1816719882,36.1241722107
2007,8,298.6380004883,96.1684490321,34.8743095398
2007,9,299.1156616211,145.29599261,35.7227783203
2007,10,299.6709594727,149.118901114,35.4502410889
2007,11,299.3391113281,206.1065314338,39.8210678101
2007,12,299.0728149414,312.0772903785,39.3953819275
2008,1,298.9495239258,414.4208435901,39.0204849243
2008,2,298.6968383789,414.2505065538,39.0391616821
2008,3,298.5462036133,538.6672653258,39.1697044373
2008,4,298.5474853516,253.4219431691,39.426486969
2008,5,298.462890625,249.1800757125,40.1385917664
2008,6,298.44921875,97.4665145623,37.6794891357
2008,7,297.9655761719,54.6041565249,32.3808364868
2008,8,299.2767333984,37.3331984156,32.7987213135
2008,9,300.2576904297,60.9643881326,26.5144786835
2008,10,300.371887207,91.557194246,37.9983520508
2008,11,300.2937011719,116.2565076957,38.6354255676
2008,12,299.6953735352,317.2203674912,39.356842041
2009,1,299.0003662109,306.2802299391,37.6587600708
2009,2,298.9151611328,251.1042694096,40.022567749
2009,3,298.7212524414,499.9811067246,41.146697998
2009,4,298.9835205078,267.8949146066,39.450466156
2009,5,298.9144897461,278.8736759685,37.5428619385
2009,6,298.8906860352,162.4793729279,32.4909057617
2009,7,298.8037109375,120.1095533324,21.3327407837
2009,8,299.5282592773,16.6800720472,19.7965373993
2009,9,299.9737548828,222.9065874126,27.153213501
2009,10,299.2964477539,220.3982085921,30.5545482635
2009,11,298.9888305664,271.4414403308,39.3148040771
2009,12,299.1123046875,260.7883221935,39.8416213989
2010,1,298.7958374023,394.5406330749,37.9663009644
2010,2,298.9254150391,453.4124848433,38.1371383667
2010,3,298.6444091797,790.8713892102,42.1574058533
2010,4,298.5501708984,391.2290940061,36.8244781494
2010,5,298.5176391602,511.6018569097,37.9307060242
2010,6,298.1837768555,99.2401828989,36.0605316162
2010,7,298.3171386719,119.5300075924,35.3131561279
2010,8,298.8800048828,53.0669317232,32.2032356262
2010,9,299.4697265625,132.0464793826,33.4991264343
2010,10,300.2193603516,57.4114926858,36.4337120056
2010,11,299.2855224609,256.1436204705,38.336025238
2010,12,298.807434082,474.2568950169,39.464881897
2011,1,298.9077148438,434.4240166247,39.4314422607
2011,2,298.5991210938,361.4813676104,38.927154541
2011,3,298.6360473633,467.4161053263,40.9751625061
2011,4,298.5200195313,341.0441293381,39.4294471741
2011,5,298.3869018555,254.2622562032,40.2033004761
2011,6,297.9195556641,146.4507087367,42.0503730774
2011,7,298.2981567383,14.878147791,38.4599914551
2011,8,299.1428833008,36.4543676551,38.9353981018
2011,9,300.3951416016,81.7294054432,39.6892585754
2011,10,300.3821411133,70.5716176308,39.4241256714
2011,11,299.4291992188,192.5260566641,39.6522445679
2011,12,299.0264282227,331.6144505516,38.2473106384
2012,1,298.3041381836,566.685821861,39.1211166382
2012,2,298.6085205078,266.5070788935,37.2645301819
2012,3,298.7084960938,388.1454505026,39.1507797241
2012,4,298.4239501953,196.0648878012,39.3769378662
2012,5,298.5499267578,202.9098831117,38.3345870972
2012,6,298.3380737305,387.9407141358,42.6378364563
2012,7,298.5549926758,153.7336448673,38.3627891541
2012,8,298.6196899414,138.9326350763,40.5186309814
2012,9,298.8485107422,156.7015018081,39.4466629028
2012,10,299.106262207,194.5920155849,40.0889434814
2012,11,299.0767822266,165.7679791097,38.545879364
2012,12,298.9019165039,390.1740303263,39.7208557129
